car_start,2.36,4.1,1.10715,0.0,0.0,0.0,0.0,0.0
big_orange,3.72,4.59,0.0,0.000196,0.000196,0.0
big_orange,1.93,5.48,0.0,0.000196,0.000196,0.0
big_orange,4.1,5.53,0.0,0.000196,0.000196,0.0
big_orange,2.25,6.28,0.0,0.000196,0.000196,0.0
blue,4.61,5.85,0.0,0.000196,0.000196,0.0
yellow,3.26,7.34,0.0,0.000196,0.000196,0.0
blue,5.25,6.13,0.0,0.000196,0.000196,0.0
yellow,4.36,7.92,0.0,0.000196,0.000196,0.0
blue,5.92,6.19,0.0,0.000196,0.000196,0.0
yellow,5.61,8.16,0.0,0.000196,0.000196,0.0
blue,6.59,6.02,0.0,0.000196,0.000196,0.0
yellow,6.92,7.99,0.0,0.000196,0.000196,0.0
blue,6.96,5.61,0.0,0.000196,0.000196,0.0
yellow,8.15,7.22,0.0,0.000196,0.000196,0.0
blue,7.51,5.03,0.0,0.000196,0.000196,0.0
yellow,8.94,6.42,0.0,0.000196,0.000196,0.0
blue,7.69,4.45,0.0,0.000196,0.000196,0.0
yellow,9.52,5.24,0.0,0.000196,0.000196,0.0
blue,8.33,3.47,0.0,0.000196,0.000196,0.0
yellow,9.98,4.6,0.0,0.000196,0.000196,0.0
blue,9.4,2.66,0.0,0.000196,0.000196,0.0
yellow,10.53,4.31,0.0,0.000196,0.000196,0.0
blue,10.71,2.27,0.0,0.000196,0.000196,0.0
yellow,11.2,4.2,0.0,0.000196,0.000196,0.0
blue,12.14,2.51,0.0,0.000196,0.000196,0.0
yellow,11.65,4.44,0.0,0.000196,0.000196,0.0
blue,13.24,3.12,0.0,0.000196,0.000196,0.0
yellow,12.21,4.83,0.0,0.000196,0.000196,0.0
blue,14.15,3.79,0.0,0.000196,0.000196,0.0
yellow,12.96,5.4,0.0,0.000196,0.000196,0.0
blue,14.9,4.26,0.0,0.000196,0.000196,0.0
yellow,13.83,5.95,0.0,0.000196,0.000196,0.0
blue,15.74,4.82,0.0,0.000196,0.000196,0.0
yellow,14.63,6.49,0.0,0.000196,0.000196,0.0
